"fluorophore","cytometer","channel"
"miRFP703","discover_a8","R3 (700)-A"
"mKate2","discover_a8","R1 (655)-A"
"mNeonGreen","discover_a8","B2 (515)-A"
"mOrange","discover_a8","YG2 (590)-A"
"mPlum","discover_a8","R3 (700)-A"
"mRuby","discover_a8","YG3 (605)-A"
"mScarlet","discover_a8","YG5 (655)-A"
"mTagBFP2","discover_a8","V3 (460)-A"
"NovaFluor Blue 510","discover_a8","B1 (500)-A"
"NovaFluor Blue 530","discover_a8","B3 (530)-A"
"NovaFluor Blue 555","discover_a8","B4 (545)-A"
"NovaFluor Blue 585","discover_a8","B6 (590)-A"
"NovaFluor Blue 610-30S","discover_a8","B7 (605)-A"
"NovaFluor Blue 610-70S","discover_a8","B7 (605)-A"
"NovaFluor Blue 660-120S","discover_a8","B9 (655)-A"
"NovaFluor Blue 660-40S","discover_a8","B9 (655)-A"
"NovaFluor Blue 690","discover_a8","B11 (700)-A"
"NovaFluor Blue 725","discover_a8","B12 (725)-A"
"NovaFluor Blue 760","discover_a8","B13 (750)-A"
"NovaFluor Blue 800","discover_a8","B15 (810)-A"
"NovaFluor Red 660","discover_a8","R2 (675)-A"
"NovaFluor Red 685","discover_a8","R3 (700)-A"
"NovaFluor Red 700","discover_a8","R3 (700)-A"
"NovaFluor Red 710","discover_a8","R3 (700)-A"
"NovaFluor Red 725","discover_a8","R4 (725)-A"
"NovaFluor Red 755","discover_a8","R5 (750)-A"
"NovaFluor UV 765","discover_a8","UV19 (750)-A"
"NovaFluor Violet 690","discover_a8","V15 (700)-A"
"NovaFluor Violet 745","discover_a8","V17 (750)-A"
"NovaFluor Violet 800","discover_a8","V19 (810)-A"
"NovaFluor Yellow 570","discover_a8","YG1 (575)-A"
"NovaFluor Yellow 590","discover_a8","YG2 (590)-A"
"NovaFluor Yellow 610","discover_a8","YG3 (605)-A"
"NovaFluor Yellow 660","discover_a8","YG5 (655)-A"
"NovaFluor Yellow 690","discover_a8","YG7 (700)-A"
"NovaFluor Yellow 700","discover_a8","YG7 (700)-A"
"NovaFluor Yellow 730","discover_a8","YG8 (725)-A"
"NovaFluor Yellow 755","discover_a8","YG9 (750)-A"
"NovaFluor Yellow 810","discover_a8","YG11 (810)-A"
"Pacific Blue","discover_a8","V3 (460)-A"
"Pacific Orange","discover_a8","V8 (545)-A"
"PE","discover_a8","YG1 (575)-A"
"PE-Alexa Fluor 610","discover_a8","YG4 (625)-A"
"PE-Alexa Fluor 700","discover_a8","YG8 (725)-A"
"PE-CF594","discover_a8","YG3 (605)-A"
"PE-Cy5","discover_a8","YG5 (655)-A"
"PE-Cy5.5","discover_a8","YG7 (700)-A"
"PE-Cy7","discover_a8","YG10 (780)-A"
"PE-Dazzle 594","discover_a8","YG3 (605)-A"
"PE-eFluor 610","discover_a8","YG3 (605)-A"
"PE-Fire 640","discover_a8","YG4 (625)-A"
"PE-Fire 700","discover_a8","YG7 (700)-A"
"PE-Fire 744","discover_a8","YG9 (750)-A"
"PE-Fire 810","discover_a8","YG11 (810)-A"
"PE-Texas Red","discover_a8","YG4 (625)-A"
"PE-Vio615","discover_a8","YG4 (625)-A"
"PE-Vio770","discover_a8","YG10 (780)-A"
"PerCP","discover_a8","B10 (675)-A"
"PerCP-Cy5.5","discover_a8","B11 (700)-A"
"PerCP-eFluor 710","discover_a8","B11 (700)-A"
"PerCP-Fire 780","discover_a8","B14 (780)-A"
"PerCP-Fire 806","discover_a8","B15 (810)-A"
"Propidium Iodide","discover_a8","YG5 (655)-A"
"Qdot 525","discover_a8","V7 (530)-A"
"Qdot 545","discover_a8","V8 (545)-A"
"Qdot 565","discover_a8","V9 (575)-A"
"Qdot 585","discover_a8","V10 (590)-A"
"Qdot 605","discover_a8","V11 (605)-A"
"Qdot 625","discover_a8","V12 (625)-A"
"Qdot 655","discover_a8","V13 (655)-A"
"Qdot 705","discover_a8","V15 (700)-A"
"Qdot 800","discover_a8","V19 (810)-A"
"R718","discover_a8","R4 (725)-A"
"RB545","discover_a8","B4 (545)-A"
"RB613","discover_a8","B7 (605)-A"
"RB670","discover_a8","B10 (675)-A"
"RB705","discover_a8","B11 (700)-A"
"RB744","discover_a8","B13 (750)-A"
"RB780","discover_a8","B14 (780)-A"
"RFP","discover_a8","YG1 (575)-A"
"RR688","discover_a8","R3 (700)-A"
"RY586","discover_a8","YG2 (590)-A"
"RY610","discover_a8","YG3 (605)-A"
"RY655","discover_a8","YG5 (655)-A"
"RY703","discover_a8","YG7 (700)-A"
"RY743","discover_a8","YG9 (750)-A"
"RY775","discover_a8","YG10 (780)-A"
"SBB580","discover_a8","B5 (575)-A"
"SBB615","discover_a8","B7 (605)-A"
"SBB675","discover_a8","B10 (675)-A"
"SBB700","discover_a8","B11 (700)-A"
"SBB765","discover_a8","B13 (750)-A"
"SBB810","discover_a8","B15 (810)-A"
"SBR670","discover_a8","R2 (675)-A"
"SBR715","discover_a8","R4 (725)-A"
"SBR775","discover_a8","R6 (780)-A"
"SBR815","discover_a8","R7 (810)-A"
"SBUV400","discover_a8","UV2 (390)-A"
"SBUV445","discover_a8","UV4 (440)-A"
"SBUV510","discover_a8","UV8 (515)-A"
"SBUV540","discover_a8","UV10 (545)-A"
"SBUV575","discover_a8","UV11 (575)-A"
"SBUV605","discover_a8","UV13 (605)-A"
"SBUV665","discover_a8","UV15 (655)-A"
"SBUV700","discover_a8","UV17 (700)-A"
"SBUV740","discover_a8","UV19 (750)-A"
"SBUV770","discover_a8","UV20 (780)-A"
"SBUV795","discover_a8","UV20 (780)-A"
"SBV440","discover_a8","V2 (440)-A"
"SBV475","discover_a8","V4 (475)-A"
"SBV515","discover_a8","V6 (515)-A"
"SBV535","discover_a8","V7 (530)-A"
"SBV570","discover_a8","V9 (575)-A"
"SBV610","discover_a8","V11 (605)-A"
"SBV670","discover_a8","V14 (675)-A"
"SBV710","discover_a8","V15 (700)-A"
"SBV760","discover_a8","V17 (750)-A"
"SBV790","discover_a8","V18 (780)-A"
"SBY575","discover_a8","YG1 (575)-A"
"SBY605","discover_a8","YG3 (605)-A"
"SBY665","discover_a8","YG5 (655)-A"
"SBY720","discover_a8","YG8 (725)-A"
"SBY800","discover_a8","YG10 (780)-A"
"Spark Blue 515","discover_a8","B2 (515)-A"
"Spark Blue 550","discover_a8","B4 (545)-A"
"Spark Blue 574","discover_a8","B5 (575)-A"
"Spark NIR 685","discover_a8","R3 (700)-A"
"Spark PLUS B550","discover_a8","B4 (545)-A"
"Spark PLUS Blue 574","discover_a8","B5 (575)-A"
"Spark PLUS UV 395","discover_a8","UV2 (390)-A"
"Spark PLUS V475","discover_a8","V4 (475)-A"
"Spark Red 718","discover_a8","R4 (725)-A"
"Spark UV 387","discover_a8","UV1 (375)-A"
"Spark UV 395","discover_a8","UV2 (390)-A"
"Spark Violet 423","discover_a8","V1 (420)-A"
"Spark Violet 500","discover_a8","V5 (500)-A"
"Spark Violet 538","discover_a8","V8 (545)-A"
"Spark YG 570","discover_a8","YG1 (575)-A"
"Spark YG 581","discover_a8","YG1 (575)-A"
"Spark YG 593","discover_a8","YG2 (590)-A"
"Super Bright 436","discover_a8","V2 (440)-A"
"Super Bright 600","discover_a8","V11 (605)-A"
"Super Bright 645","discover_a8","V13 (655)-A"
"Super Bright 702","discover_a8","V15 (700)-A"
"Super Bright 780","discover_a8","V18 (780)-A"
"SYTO 9","discover_a8","B2 (515)-A"
"SYTOX Blue","discover_a8","V3 (460)-A"
"SYTOX Green","discover_a8","B2 (515)-A"
"SYTOX Orange","discover_a8","YG1 (575)-A"
"SYTOX Red","discover_a8","R1 (655)-A"
"tdTomato","discover_a8","YG2 (590)-A"
"Texas Red","discover_a8","R1 (655)-A"
"TRITC","discover_a8","YG2 (590)-A"
"Turquoise","discover_a8","B2 (515)-A"
"V450","discover_a8","V2 (440)-A"
"V500","discover_a8","V5 (500)-A"
"V547","discover_a8","V8 (545)-A"
"ViaKrome 808","discover_a8","R5 (750)-A"
"VioBright B515","discover_a8","B2 (515)-A"
"VioBright FITC","discover_a8","B2 (515)-A"
"VioBright V600","discover_a8","V11 (605)-A"
"YFP","discover_a8","B3 (530)-A"
"Zombie Aqua","discover_a8","V4 (475)-A"
"Zombie Green","discover_a8","B2 (515)-A"
"Zombie NIR","discover_a8","R5 (750)-A"
"Zombie Red","discover_a8","R1 (655)-A"
"Zombie UV","discover_a8","UV5 (460)-A"
"Zombie Violet","discover_a8","V2 (440)-A"
"Zombie Yellow","discover_a8","YG1 (575)-A"
"7-AAD","opteon","Y661-A"
"Alexa Fluor 350","opteon","UV440-A"
"Alexa Fluor 405","opteon","V424-A"
"Alexa Fluor 488","opteon","B525-A"
"Alexa Fluor 514","opteon","B543-A"
"Alexa Fluor 532","opteon","B543-A"
"Alexa Fluor 555","opteon","Y582-A"
"Alexa Fluor 568","opteon","Y618-A"
"Alexa Fluor 594","opteon","Y618-A"
"Alexa Fluor 610","opteon","Y618-A"
"Alexa Fluor 633","opteon","R661-A"
"Alexa Fluor 647","opteon","R681-A"
"Alexa Fluor 660","opteon","R700-A"
"Alexa Fluor 680","opteon","R700-A"
"Alexa Fluor 700","opteon","R717-A"
"Alexa Fluor 790","opteon","R815-A"
"AmCyan","opteon","V508-A"
"APC","opteon","R681-A"
"APC-Cy5.5","opteon","R700-A"
"APC-Cy7","opteon","R784-A"
"APC-eFluor 780","opteon","R784-A"
"APC-Fire 750","opteon","R784-A"
"APC-Fire 810","opteon","R815-A"
"APC-H7","opteon","R784-A"
"APC-R700","opteon","R717-A"
"APC-Vio750","opteon","R784-A"
"APC-Vio770","opteon","R784-A"
"BB515","opteon","B508-A"
"BB630","opteon","B618-A"
"BB660","opteon","B661-A"
"BB700","opteon","B700-A"
"BB755","opteon","B757-A"
"BB790","opteon","B784-A"
"BrDU FITC","opteon","B525-A"
"BUV395","opteon","UV380-A"
"BUV496","opteon","UV508-A"
"BUV563","opteon","UV582-A"
"BUV615","opteon","UV618-A"
"BUV661","opteon","UV661-A"
"BUV737","opteon","UV735-A"
"BUV805","opteon","UV815-A"
"BV421","opteon","V424-A"
"BV480","opteon","V469-A"
"BV510","opteon","V508-A"
"BV570","opteon","V582-A"
"BV570-T","opteon","V582-A"
"BV605","opteon","V600-A"
"BV650","opteon","V661-A"
"BV711","opteon","V717-A"
"BV750","opteon","V757-A"
"BV785","opteon","V784-A"
"BV786","opteon","V784-A"
"CellTrace Blue","opteon","UV508-A"
"CellTrace Calcein AM","opteon","B525-A"
"CellTrace Calcein Blue","opteon","UV440-A"
"CellTrace CFSE","opteon","B525-A"
"CellTrace Far Red","opteon","R681-A"
"CellTrace Oregon Green","opteon","B525-A"
"CellTrace Red","opteon","Y618-A"
"CellTrace Violet","opteon","V455-A"
"CellTrace Yellow","opteon","B543-A"
"CF350","opteon","UV455-A"
"CF405L","opteon","V543-A"
"CF405M","opteon","V455-A"
"CF405S","opteon","V440-A"
"CF430","opteon","V508-A"
"CF440","opteon","V525-A"
"CF450","opteon","B543-A"
"CF488A","opteon","B508-A"
"CF503R","opteon","B525-A"
"CF514","opteon","B543-A"
"CF532","opteon","B582-A"
"CF543","opteon","B582-A"
"CF550R","opteon","Y582-A"
"CF555","opteon","Y582-A"
"CF568","opteon","Y582-A"
"CF570","opteon","Y600-A"
"CF583","opteon","Y600-A"
"CF594","opteon","Y618-A"
"CF620R","opteon","R661-A"
"CF633","opteon","R661-A"
"CF640R","opteon","R661-A"
"CF647","opteon","R661-A"
"CF660C","opteon","R681-A"
"CF660R","opteon","R681-A"
"CF680","opteon","R700-A"
"CF680R","opteon","R700-A"
"CF700","opteon","R717-A"
"CF710","opteon","R735-A"
"CF725","opteon","R757-A"
"CF740","opteon","R757-A"
"CF750","opteon","R784-A"
"CF770","opteon","R784-A"
"CF790","opteon","R815-A"
"CF800","opteon","V815-A"
"cFluor B513","opteon","B508-A"
"cFluor B548","opteon","B543-A"
"cFluor B610","opteon","B618-A"
"cFluor B660","opteon","B661-A"
"cFluor B710","opteon","B717-A"
"cFluor B760","opteon","B757-A"
"cFluor R659","opteon","R661-A"
"cFluor R685","opteon","R700-A"
"cFluor R720","opteon","R717-A"
"cFluor R775","opteon","R784-A"
"cFluor R840","opteon","R815-A"
"cFluor UV450","opteon","UV440-A"
"cFluor UV610","opteon","UV618-A"
"cFluor V450","opteon","V440-A"
"cFluor V500","opteon","V508-A"
"cFluor V610","opteon","V600-A"
"cFluor V650","opteon","V661-A"
"cFluor V710","opteon","V717-A"
"cFluor V785","opteon","V784-A"
"cFluor YG580","opteon","Y582-A"
"cFluor YG610","opteon","Y618-A"
"cFluor YG667","opteon","Y661-A"
"cFluor YG720","opteon","Y717-A"
"cFluor YG780","opteon","Y784-A"
"Cy3","opteon","Y600-A"
"Cy5","opteon","R661-A"
"Cy5.5","opteon","R700-A"
"Cy7","opteon","R784-A"
"DAPI","opteon","V440-A"
"DRAQ5","opteon","R681-A"
"DRAQ7","opteon","R681-A"
"DyLight 680","opteon","R717-A"
"DyLight 800","opteon","R815-A"
"EBFP","opteon","V455-A"
"ECFP","opteon","B508-A"
"EdU Alexa 488","opteon","B525-A"
"EdU Alexa 647","opteon","R681-A"
"eFluor 450","opteon","V440-A"
"eFluor 506","opteon","V508-A"
"eFluor 660","opteon","R681-A"
"eFluor 780","opteon","R784-A"
"EYFP","opteon","B543-A"
"FITC","opteon","B525-A"
"Fixable Viability Dye eFluor 450","opteon","V440-A"
"Fixable Viability Dye eFluor 506","opteon","V508-A"
"Fixable Viability Dye eFluor 520","opteon","B525-A"
"FVS450","opteon","V440-A"
"FVS575V","opteon","V582-A"
"FVS620","opteon","V618-A"
"FVS660","opteon","V661-A"
"FVS780","opteon","R784-A"
"GFP","opteon","B508-A"
"Hoechst","opteon","UV508-A"
"iRFP670","opteon","R661-A"
"iRFP720","opteon","R717-A"
"Keima","opteon","Y618-A"
"KIRAVIA Blue 520","opteon","B525-A"
"Live-Dead Blue","opteon","UV455-A"
"LIVE/DEAD Aqua","opteon","V469-A"
"LIVE/DEAD Blue","opteon","UV455-A"
"LIVE/DEAD Fixable Near-IR","opteon","R784-A"
"mCherry","opteon","Y618-A"
"mCitrine","opteon","B543-A"
"mFluor Vio610","opteon","V600-A"
"miRFP670","opteon","R661-A"
"miRFP703","opteon","R700-A"
"mKate2","opteon","R661-A"
"mNeonGreen","opteon","B525-A"
"mOrange","opteon","Y600-A"
"mPlum","opteon","R700-A"
"mRuby","opteon","Y618-A"
"mScarlet","opteon","Y661-A"
"mTagBFP2","opteon","V455-A"
"NovaFluor Blue 510","opteon","B508-A"
"NovaFluor Blue 530","opteon","B525-A"
"NovaFluor Blue 555","opteon","B543-A"
"NovaFluor Blue 585","opteon","B582-A"
"NovaFluor Blue 610-30S","opteon","B618-A"
"NovaFluor Blue 610-70S","opteon","B618-A"
"NovaFluor Blue 660-120S","opteon","B661-A"
"NovaFluor Blue 660-40S","opteon","B661-A"
"NovaFluor Blue 690","opteon","B681-A"
"NovaFluor Blue 725","opteon","B717-A"
"NovaFluor Blue 760","opteon","B757-A"
"NovaFluor Blue 800","opteon","B815-A"
"NovaFluor Red 660","opteon","R681-A"
"NovaFluor Red 685","opteon","R700-A"
"NovaFluor Red 700","opteon","R717-A"
"NovaFluor Red 710","opteon","R717-A"
"NovaFluor Red 725","opteon","R735-A"
"NovaFluor Red 755","opteon","R784-A"
"NovaFluor UV 765","opteon","UV757-A"
"NovaFluor Violet 690","opteon","V681-A"
"NovaFluor Violet 745","opteon","V735-A"
"NovaFluor Violet 800","opteon","V815-A"
"NovaFluor Yellow 570","opteon","Y582-A"
"NovaFluor Yellow 590","opteon","Y600-A"
"NovaFluor Yellow 610","opteon","Y618-A"
"NovaFluor Yellow 660","opteon","Y661-A"
"NovaFluor Yellow 690","opteon","Y681-A"
"NovaFluor Yellow 700","opteon","Y700-A"
"NovaFluor Yellow 730","opteon","Y735-A"
"NovaFluor Yellow 755","opteon","Y757-A"
"NovaFluor Yellow 810","opteon","Y815-A"
"Pacific Blue","opteon","V455-A"
"Pacific Orange","opteon","V543-A"
"PE","opteon","Y582-A"
"PE-Alexa Fluor 610","opteon","Y618-A"
"PE-Alexa Fluor 700","opteon","Y717-A"
"PE-CF594","opteon","Y618-A"
"PE-Cy5","opteon","Y661-A"
"PE-Cy5.5","opteon","Y700-A"
"PE-Cy7","opteon","Y784-A"
"PE-Dazzle 594","opteon","Y618-A"
"PE-eFluor 610","opteon","Y618-A"
"PE-Fire 640","opteon","Y661-A"
"PE-Fire 700","opteon","Y700-A"
"PE-Fire 744","opteon","Y757-A"
"PE-Fire 810","opteon","Y815-A"
"PE-Texas Red","opteon","Y618-A"
"PE-Vio615","opteon","Y618-A"
"PE-Vio770","opteon","Y784-A"
"PerCP","opteon","B661-A"
"PerCP-Cy5.5","opteon","B681-A"
"PerCP-eFluor 710","opteon","B717-A"
"PerCP-Fire 780","opteon","B784-A"
"PerCP-Fire 806","opteon","B815-A"
"Propidium Iodide","opteon","Y661-A"
"Qdot 525","opteon","V525-A"
"Qdot 545","opteon","V543-A"
"Qdot 565","opteon","V582-A"
"Qdot 585","opteon","V582-A"
"Qdot 605","opteon","V600-A"
"Qdot 625","opteon","V618-A"
"Qdot 655","opteon","V661-A"
"Qdot 705","opteon","V700-A"
"Qdot 800","opteon","V815-A"
"R718","opteon","R717-A"
"RB545","opteon","B543-A"
"RB613","opteon","B618-A"
"RB670","opteon","B661-A"
"RB705","opteon","B717-A"
"RB744","opteon","B757-A"
"RB780","opteon","B784-A"
"RFP","opteon","Y582-A"
"RR688","opteon","R700-A"
"RY586","opteon","Y582-A"
"RY610","opteon","Y618-A"
"RY655","opteon","Y661-A"
"RY703","opteon","Y700-A"
"RY743","opteon","Y757-A"
"RY775","opteon","Y784-A"
"SBB580","opteon","B582-A"
"SBB615","opteon","B618-A"
"SBB675","opteon","B661-A"
"SBB700","opteon","B700-A"
"SBB765","opteon","B757-A"
"SBB810","opteon","B815-A"
"SBR670","opteon","R681-A"
"SBR715","opteon","R717-A"
"SBR775","opteon","R784-A"
"SBR815","opteon","R815-A"
"SBUV400","opteon","UV380-A"
"SBUV445","opteon","UV440-A"
"SBUV510","opteon","UV508-A"
"SBUV540","opteon","UV543-A"
"SBUV575","opteon","UV582-A"
"SBUV605","opteon","UV600-A"
"SBUV665","opteon","UV661-A"
"SBUV700","opteon","UV700-A"
"SBUV740","opteon","UV735-A"
"SBUV770","opteon","UV757-A"
"SBUV795","opteon","UV784-A"
"SBV440","opteon","V440-A"
"SBV475","opteon","V469-A"
"SBV515","opteon","V508-A"
"SBV535","opteon","V525-A"
"SBV570","opteon","V582-A"
"SBV610","opteon","V618-A"
"SBV670","opteon","V661-A"
"SBV710","opteon","V717-A"
"SBV760","opteon","V757-A"
"SBV790","opteon","V784-A"
"SBY575","opteon","Y582-A"
"SBY605","opteon","Y618-A"
"SBY665","opteon","Y661-A"
"SBY720","opteon","Y717-A"
"SBY800","opteon","Y784-A"
"Spark Blue 515","opteon","B508-A"
"Spark Blue 550","opteon","B543-A"
"Spark Blue 574","opteon","B582-A"
"Spark NIR 685","opteon","R700-A"
"Spark PLUS B550","opteon","B543-A"
"Spark PLUS Blue 574","opteon","B582-A"
"Spark PLUS UV 395","opteon","UV380-A"
"Spark PLUS V475","opteon","V469-A"
"Spark Red 718","opteon","R717-A"
"Spark UV 387","opteon","UV380-A"
"Spark UV 395","opteon","UV380-A"
"Spark Violet 423","opteon","V440-A"
"Spark Violet 500","opteon","V508-A"
"Spark Violet 538","opteon","V543-A"
"Spark YG 570","opteon","Y582-A"
"Spark YG 581","opteon","Y582-A"
"Spark YG 593","opteon","Y600-A"
"Super Bright 436","opteon","V440-A"
"Super Bright 600","opteon","V600-A"
"Super Bright 645","opteon","V661-A"
"Super Bright 702","opteon","V700-A"
"Super Bright 780","opteon","V784-A"
"SYTO 9","opteon","B525-A"
"SYTOX Blue","opteon","V455-A"
"SYTOX Green","opteon","B525-A"
"SYTOX Orange","opteon","Y582-A"
"SYTOX Red","opteon","R661-A"
"tdTomato","opteon","Y600-A"
"Texas Red","opteon","R661-A"
"TRITC","opteon","Y600-A"
"Turquoise","opteon","B508-A"
"V450","opteon","V455-A"
"V500","opteon","V508-A"
"V547","opteon","V543-A"
"ViaKrome 808","opteon","R757-A"
"VioBright B515","opteon","B508-A"
"VioBright FITC","opteon","B525-A"
"VioBright V600","opteon","V600-A"
"YFP","opteon","B543-A"
"Zombie Aqua","opteon","V469-A"
"Zombie Green","opteon","B525-A"
"Zombie NIR","opteon","R784-A"
"Zombie Red","opteon","R661-A"
"Zombie UV","opteon","UV469-A"
"Zombie Violet","opteon","V440-A"
"Zombie Yellow","opteon","Y582-A"
"7-AAD","mosaic","Y5-A"
"Alexa Fluor 350","mosaic","U4-A"
"Alexa Fluor 405","mosaic","V1-A"
"Alexa Fluor 488","mosaic","B1-A"
"Alexa Fluor 514","mosaic","B3-A"
"Alexa Fluor 532","mosaic","B3-A"
"Alexa Fluor 555","mosaic","Y1-A"
"Alexa Fluor 568","mosaic","Y3-A"
"Alexa Fluor 594","mosaic","Y4-A"
"Alexa Fluor 610","mosaic","Y4-A"
"Alexa Fluor 633","mosaic","R1-A"
"Alexa Fluor 647","mosaic","R2-A"
"Alexa Fluor 660","mosaic","R3-A"
"Alexa Fluor 680","mosaic","R3-A"
"Alexa Fluor 700","mosaic","R4-A"
"Alexa Fluor 790","mosaic","R7-A"
"AmCyan","mosaic","V5-A"
"APC","mosaic","R1-A"
"APC-Cy5.5","mosaic","R3-A"
"APC-Cy7","mosaic","R6-A"
"APC-eFluor 780","mosaic","R6-A"
"APC-Fire 750","mosaic","R6-A"
"APC-Fire 810","mosaic","R7-A"
"APC-H7","mosaic","R6-A"
"APC-R700","mosaic","R4-A"
"APC-Vio750","mosaic","R5-A"
"APC-Vio770","mosaic","R6-A"
"BB515","mosaic","B1-A"
"BB630","mosaic","B7-A"
"BB660","mosaic","B8-A"
"BB700","mosaic","B10-A"
"BB755","mosaic","B12-A"
"BB790","mosaic","B13-A"
"BrDU FITC","mosaic","B1-A"
"BUV395","mosaic","U3-A"
"BUV496","mosaic","U7-A"
"BUV563","mosaic","U9-A"
"BUV615","mosaic","U10-A"
"BUV661","mosaic","U11-A"
"BUV737","mosaic","U14-A"
"BUV805","mosaic","U17-A"
"BV421","mosaic","V1-A"
"BV480","mosaic","V4-A"
"BV510","mosaic","V5-A"
"BV570","mosaic","V8-A"
"BV570-T","mosaic","V8-A"
"BV605","mosaic","V9-A"
"BV650","mosaic","V11-A"
"BV711","mosaic","V13-A"
"BV750","mosaic","V15-A"
"BV785","mosaic","V17-A"
"BV786","mosaic","V17-A"
"CellTrace Blue","mosaic","U7-A"
"CellTrace Calcein AM","mosaic","B1-A"
"CellTrace Calcein Blue","mosaic","U4-A"
"CellTrace CFSE","mosaic","B1-A"
"CellTrace Far Red","mosaic","R2-A"
"CellTrace Oregon Green","mosaic","B1-A"
"CellTrace Red","mosaic","Y3-A"
"CellTrace Violet","mosaic","V3-A"
"CellTrace Yellow","mosaic","B3-A"
"CF350","mosaic","U5-A"
"CF405L","mosaic","V7-A"
"CF405M","mosaic","V3-A"
"CF405S","mosaic","V2-A"
"CF430","mosaic","V5-A"
"CF440","mosaic","V5-A"
"CF450","mosaic","B2-A"
"CF488A","mosaic","B1-A"
"CF503R","mosaic","B2-A"
"CF514","mosaic","B3-A"
"CF532","mosaic","B3-A"
"CF543","mosaic","B4-A"
"CF550R","mosaic","Y1-A"
"CF555","mosaic","Y1-A"
"CF568","mosaic","Y1-A"
"CF570","mosaic","Y2-A"
"CF583","mosaic","Y3-A"
"CF594","mosaic","Y3-A"
"CF620R","mosaic","R1-A"
"CF633","mosaic","R1-A"
"CF640R","mosaic","R1-A"
"CF647","mosaic","R2-A"
"CF660C","mosaic","R2-A"
"CF660R","mosaic","R2-A"
"CF680","mosaic","R3-A"
"CF680R","mosaic","R3-A"
"CF700","mosaic","R4-A"
"CF710","mosaic","R4-A"
"CF725","mosaic","R5-A"
"CF740","mosaic","R5-A"
"CF750","mosaic","R6-A"
"CF770","mosaic","R7-A"
"CF790","mosaic","R7-A"
"CF800","mosaic","V18-A"
"cFluor B513","mosaic","B1-A"
"cFluor B548","mosaic","B3-A"
"cFluor B610","mosaic","B6-A"
"cFluor B660","mosaic","B8-A"
"cFluor B710","mosaic","B10-A"
"cFluor B760","mosaic","B12-A"
"cFluor R659","mosaic","R1-A"
"cFluor R685","mosaic","R3-A"
"cFluor R720","mosaic","R4-A"
"cFluor R775","mosaic","R6-A"
"cFluor R840","mosaic","R7-A"
"cFluor UV450","mosaic","U4-A"
"cFluor UV610","mosaic","U10-A"
"cFluor V450","mosaic","V2-A"
"cFluor V500","mosaic","V5-A"
"cFluor V610","mosaic","V9-A"
"cFluor V650","mosaic","V11-A"
"cFluor V710","mosaic","V13-A"
"cFluor V785","mosaic","V17-A"
"cFluor YG580","mosaic","Y1-A"
"cFluor YG610","mosaic","Y3-A"
"cFluor YG667","mosaic","Y5-A"
"cFluor YG720","mosaic","Y7-A"
"cFluor YG780","mosaic","Y9-A"
"Cy3","mosaic","Y2-A"
"Cy5","mosaic","R1-A"
"Cy5.5","mosaic","R3-A"
"Cy7","mosaic","R6-A"
"DAPI","mosaic","V2-A"
"DRAQ5","mosaic","R2-A"
"DRAQ7","mosaic","R2-A"
"DyLight 680","mosaic","R3-A"
"DyLight 800","mosaic","R7-A"
"EBFP","mosaic","V3-A"
"ECFP","mosaic","B1-A"
"EdU Alexa 488","mosaic","B1-A"
"EdU Alexa 647","mosaic","R2-A"
"eFluor 450","mosaic","V2-A"
"eFluor 506","mosaic","V5-A"
"eFluor 660","mosaic","R2-A"
"eFluor 780","mosaic","R6-A"
"EYFP","mosaic","B2-A"
"FITC","mosaic","B1-A"
"Fixable Viability Dye eFluor 450","mosaic","V2-A"
"Fixable Viability Dye eFluor 506","mosaic","V5-A"
"Fixable Viability Dye eFluor 520","mosaic","B1-A"
"FVS450","mosaic","V2-A"
"FVS575V","mosaic","V7-A"
"FVS620","mosaic","V10-A"
"FVS660","mosaic","V11-A"
"FVS780","mosaic","R6-A"
"GFP","mosaic","B1-A"
"Hoechst","mosaic","U7-A"
"iRFP670","mosaic","R1-A"
"iRFP720","mosaic","R4-A"
"Keima","mosaic","Y3-A"
"KIRAVIA Blue 520","mosaic","B1-A"
"Live-Dead Blue","mosaic","U4-A"
"LIVE/DEAD Aqua","mosaic","V4-A"
"LIVE/DEAD Blue","mosaic","U4-A"
"LIVE/DEAD Fixable Near-IR","mosaic","R7-A"
"mCherry","mosaic","Y3-A"
"mCitrine","mosaic","B3-A"
"mFluor Vio610","mosaic","V9-A"
"miRFP670","mosaic","R1-A"
"miRFP703","mosaic","R3-A"
"mKate2","mosaic","R1-A"
"mNeonGreen","mosaic","B1-A"
"mOrange","mosaic","Y2-A"
"mPlum","mosaic","R3-A"
"mRuby","mosaic","Y3-A"
"mScarlet","mosaic","Y5-A"
"mTagBFP2","mosaic","V3-A"
"NovaFluor Blue 510","mosaic","B1-A"
"NovaFluor Blue 530","mosaic","B2-A"
"NovaFluor Blue 555","mosaic","B3-A"
"NovaFluor Blue 585","mosaic","B5-A"
"NovaFluor Blue 610-30S","mosaic","B6-A"
"NovaFluor Blue 610-70S","mosaic","B6-A"
"NovaFluor Blue 660-120S","mosaic","B8-A"
"NovaFluor Blue 660-40S","mosaic","B8-A"
"NovaFluor Blue 690","mosaic","B10-A"
"NovaFluor Blue 725","mosaic","B11-A"
"NovaFluor Blue 760","mosaic","B12-A"
"NovaFluor Blue 800","mosaic","B14-A"
"NovaFluor Red 660","mosaic","R2-A"
"NovaFluor Red 685","mosaic","R3-A"
"NovaFluor Red 700","mosaic","R3-A"
