"fluorophore","320CH1-A","320CH2-A","320CH3-A","320CH4-A","320CH5-A","320CH6-A","320CH7-A","320CH8-A","320CH9-A","320CH10-A","320CH11-A","320CH12-A","320CH13-A","320CH14-A","320CH15-A","320CH16-A","320CH17-A","320CH18-A","320CH19-A","320CH20-A","320CH21-A","320CH22-A","320CH23-A","320CH24-A","320CH25-A","320CH26-A","320CH27-A","320CH28-A","320CH29-A","320CH30-A","320CH31-A","320CH32-A","320CH33-A","320CH34-A","320CH35-A","355CH1-A","355CH2-A","355CH3-A","355CH4-A","355CH5-A","355CH6-A","355CH7-A","355CH8-A","355CH9-A","355CH10-A","355CH11-A","355CH12-A","355CH13-A","355CH14-A","355CH15-A","355CH16-A","355CH17-A","355CH18-A","355CH19-A","355CH20-A","355CH21-A","355CH22-A","355CH23-A","355CH24-A","355CH25-A","355CH26-A","355CH27-A","355CH28-A","355CH29-A","355CH30-A","355CH31-A","355CH32-A","355CH33-A","355CH34-A","355CH35-A","405CH1-A","405CH2-A","405CH3-A","405CH4-A","405CH5-A","405CH6-A","405CH7-A","405CH8-A","405CH9-A","405CH10-A","405CH11-A","405CH12-A","405CH13-A","405CH14-A","405CH15-A","405CH16-A","405CH17-A","405CH18-A","405CH19-A","405CH20-A","405CH21-A","405CH22-A","405CH23-A","405CH24-A","405CH25-A","405CH26-A","405CH27-A","405CH28-A","405CH29-A","405CH30-A","405CH31-A","405CH32-A","405CH33-A","405CH34-A","405CH35-A","488CH4-A","488CH5-A","488CH6-A","488CH7-A","488CH8-A","488CH9-A","488CH10-A","488CH11-A","488CH12-A","488CH13-A","488CH14-A","488CH15-A","488CH16-A","488CH17-A","488CH18-A","488CH19-A","488CH20-A","488CH21-A","488CH22-A","488CH23-A","488CH24-A","488CH25-A","488CH26-A","488CH27-A","488CH28-A","488CH29-A","488CH30-A","488CH31-A","488CH32-A","488CH33-A","488CH34-A","488CH35-A","561CH10-A","561CH11-A","561CH12-A","561CH13-A","561CH14-A","561CH15-A","561CH16-A","561CH17-A","561CH18-A","561CH19-A","561CH20-A","561CH21-A","561CH22-A","561CH23-A","561CH24-A","561CH25-A","561CH26-A","561CH27-A","561CH28-A","561CH29-A","561CH30-A","561CH31-A","561CH32-A","561CH33-A","561CH34-A","561CH35-A","637CH17-A","637CH18-A","637CH19-A","637CH20-A","637CH21-A","637CH22-A","637CH23-A","637CH24-A","637CH25-A","637CH26-A","637CH27-A","637CH28-A","637CH29-A","637CH30-A","637CH31-A","637CH32-A","637CH33-A","637CH34-A","637CH35-A"
"PerCP-Fire 806",-0.00368,-0.00167,-0.00087,-0.00065,0.001954,6.73e-05,0.001323,0.003931,-0.00066,-0.00056,-0.00059,-0.001,0.000517,-7.2e-05,0.000201,-0.00012,0.00202,0.015735,0.0572,0.053531,0.023878,0.017479,0.013523,0.011649,0.011789,0.009287,0.011945,0.022771,0.05242,0.077834,0.110852,0.110546,0.089774,0.052192,0.024545,-0.00326,-0.00076,-0.00048,-0.001,-4.14e-05,-9.06e-05,6.45e-05,-0.00028,6.96e-05,1.07e-05,-2e-04,-2.71e-05,-1.98e-05,4.59e-05,-4.32e-05,2.37e-05,0.000388,0.002944,0.01609,0.015311,0.006758,0.005348,0.004017,0.003841,0.003713,0.003725,0.004036,0.007881,0.016425,0.032652,0.048379,0.058805,0.045349,0.033926,0.018591,-0.00384,-0.00409,-0.00154,-0.00171,-0.00278,-0.00191,-0.00035,4.69e-05,-0.00077,-1.76e-05,-8.35e-05,1.45e-05,0.001624,0.00111,0.000441,0.000204,0.006117,0.055587,0.213676,0.169277,0.096772,0.073812,0.061385,0.054519,0.052495,0.055484,0.077559,0.165932,0.354105,0.634431,0.869344,1,0.831831,0.549021,0.292498,-0.00015,-3e-04,-0.00017,-0.00021,4.69e-05,-5.37e-05,5.94e-05,0.000821,0.000194,0.000515,0.000796,0.000229,8.92e-05,0.0022,0.020065,0.099026,0.095873,0.049076,0.03647,0.029004,0.026721,0.028541,0.032775,0.053403,0.121905,0.275804,0.460724,0.695949,0.761471,0.698729,0.506858,0.317355,0.000257,0.002539,0.003849,0.003715,0.003278,0.001087,-3.52e-05,0.003466,0.027473,0.114958,0.108523,0.059084,0.043857,0.036618,0.030053,0.030882,0.030691,0.039118,0.081054,0.176501,0.296357,0.416048,0.454319,0.404971,0.270504,0.188397,0.001054,0.003921,0.018229,0.02008,0.016571,0.01483,0.012327,0.009069,0.007815,0.006704,0.008516,0.015518,0.03116,0.056661,0.085796,0.099194,0.083023,0.0584,0.040253
"R718",0.003973,0.002343,6.16e-05,0.002755,-0.00017,0.002428,-0.00069,0.001427,-0.00105,0.000999,-0.0013,0.002576,-0.00022,0.001171,-9e-04,0.001821,0.000711,0.002456,0.001352,0.003359,0.004967,0.010331,0.013982,0.012647,0.011117,0.007985,0.003766,0.004608,0.003311,0.00435,0.002705,0.003657,0.002611,0.003675,0.000453,0.00297,0.002104,0.001517,0.003997,0.002262,0.001967,0.002828,0.001263,-0.00048,0.001534,0.001796,0.001186,0.000384,9.41e-05,0.001432,0.000189,0.000486,0.000827,0.001426,0.006788,0.017954,0.036294,0.049654,0.053583,0.041621,0.027657,0.018502,0.016957,0.018975,0.013709,0.015182,0.011079,0.012117,0.007157,0.004696,0.002272,-0.00087,-0.00074,0.02497,0.003217,0.013331,0.002756,0.010795,0.001139,0.003833,0.004849,9.09e-06,-0.00065,0.000919,9e-04,0.000542,-0.00469,0.003329,0.004467,0.018909,0.051916,0.09652,0.129902,0.122444,0.08996,0.066732,0.042788,0.034053,0.023445,0.034132,0.02195,0.025572,0.010612,0.015467,0.006296,0.002367,0.001495,0.003746,0.001591,0.0023,0.001374,0.000736,0.004061,0.003978,0.001729,0.001682,0.000763,-0.00029,0.000493,7.89e-05,0.000641,0.001543,0.003406,0.007046,0.008298,0.007503,0.006942,0.004019,0.003325,0.002464,0.002032,0.00295,0.001392,0.000956,0.001746,0.001163,0.000107,0.000926,0.001762,-0.00061,0.00098,0.001004,0.000178,0.001595,2e-04,0.004592,0.007529,0.031142,0.086057,0.167907,0.214379,0.190114,0.158164,0.109058,0.079043,0.06569,0.06289,0.054564,0.045018,0.036302,0.02611,0.020929,0.014954,0.008126,0.00882,0.03127,0.11921,0.339975,0.695992,1,0.941032,0.73121,0.506389,0.374668,0.301776,0.265234,0.262626,0.23685,0.202201,0.165599,0.110453,0.140769
"RB545",0.005791,0.000708,0.000515,0.000333,0.001,0.001839,0.00491,0.005044,0.000366,0.001164,0.002639,0.00178,0.001335,0.000694,0.000494,5.65e-05,-5.3e-05,-8.9e-05,3.04e-05,0.000299,-0.00026,0.00072,-0.00038,0.000566,-0.00016,8.74e-06,-7.72e-05,0.000494,0.000253,0.000391,-6.96e-06,0.000373,0.000414,0.000319,0.000188,0.001129,0.000682,0.00058,0.002424,0.001494,0.010745,0.027646,0.027522,0.004317,0.006436,0.011832,0.008902,0.005482,0.003596,0.001462,0.000652,0.001261,0.001058,0.001225,0.000622,0.000215,0.000472,3.98e-05,0.000304,0.000112,0.000275,0.000388,0.000797,-0.00028,0.000291,-0.00031,0.000391,-0.00035,4.99e-06,-2e-04,0.000324,0.000664,0.000666,0.011538,0.009816,0.049512,0.136207,0.149516,0.023136,0.032362,0.056774,0.046476,0.033543,0.029431,0.009823,6e-04,0.007302,0.008113,0.004194,0.002592,0.002953,0.003388,0.001619,0.001323,0.000149,0.000844,0.001255,0.004034,0.001568,-0.00015,0.000681,0.000431,0.000153,0.000719,-0.00023,0.036025,0.063842,0.234209,0.780011,1,0.25309,0.138238,0.403734,0.344275,0.230992,0.158435,0.066992,0.004662,0.033048,0.040738,0.030357,0.024632,0.01657,0.011323,0.008101,0.006267,0.006136,0.007475,0.013178,0.012969,0.009074,0.004866,0.003395,0.004222,0.003912,0.002593,0.001423,0.01713,0.023547,0.018548,0.012051,0.008291,0.002982,0.000369,0.002639,0.002241,0.002061,0.001073,0.000907,0.000611,0.000643,0.000208,0.000359,-6.34e-05,0.000264,-5.91e-05,-0.00029,-6.96e-05,0.000596,0.000241,3.74e-05,0.000109,-0.00015,-0.00035,0.000245,-0.00017,0.000401,7.04e-05,0.000172,-7.4e-05,0.000166,-0.00028,0.000388,6.14e-05,1.5e-05,-7.43e-05,0.000254,-0.00043,3.14e-05,-4.47e-05,0.00026,-1.57e-05
"RB670",0.000649,0.000239,6.73e-05,-0.00022,0.000202,1.52e-05,5.03e-05,1.27e-05,-8.54e-05,-6.94e-05,-5.86e-05,-8.76e-05,3.66e-05,-1.33e-05,3.18e-05,0.00014,0.003451,0.009948,0.011433,0.009868,0.006473,0.004148,0.002766,0.002541,0.002216,0.00154,0.001201,0.000963,0.000645,0.000485,0.000286,6.31e-05,3.87e-05,0.000158,-5.02e-06,0.000344,0.000197,0.000176,0.000782,0.000667,0.000802,0.000741,0.00053,0.000104,6.51e-05,0.000404,0.000237,0.000153,0.000205,0.000169,0.001121,0.014708,0.031185,0.041316,0.032878,0.019711,0.012698,0.008737,0.008345,0.007206,0.005879,0.004426,0.003298,0.002522,0.001788,0.00127,0.001152,0.000612,0.000621,0.00047,0.000176,0.000128,0.000389,0.00149,0.00294,0.002566,0.001258,0.002214,0.000141,6.48e-05,0.000895,0.000824,0.000578,0.001024,0.000976,0.005951,0.085248,0.205245,0.235994,0.187687,0.12299,0.076445,0.057888,0.044763,0.036245,0.030427,0.023109,0.015811,0.01075,0.007723,0.005981,0.004744,0.004382,0.003224,0.002045,0.015225,0.020835,0.019596,0.015232,0.01054,0.002378,0.001656,0.004819,0.004569,0.003568,0.004537,0.004415,0.011936,0.257812,0.724169,1,0.918343,0.598759,0.339006,0.217495,0.173208,0.154807,0.133921,0.099827,0.071897,0.053227,0.035468,0.025516,0.019663,0.015218,0.012686,0.010081,0.000244,0.000112,9.19e-05,2.52e-05,0.00027,0.000176,0.001773,0.017999,0.040053,0.043589,0.033961,0.022054,0.014622,0.010645,0.008437,0.008108,0.006648,0.005269,0.003428,0.002181,0.001497,0.000899,0.000857,0.000591,0.000616,0.000386,0.131272,0.217302,0.262513,0.212586,0.13511,0.085713,0.063943,0.052591,0.048462,0.039715,0.031161,0.020513,0.014032,0.010366,0.007541,0.005869,0.004887,0.003737,0.003428
"RB705",0.000156,0.000248,1.23e-05,-0.00018,0.000233,0.000442,0.000134,1.84e-05,5.04e-05,-7.83e-05,2.22e-05,-0.00013,3.2e-05,-1e-04,-0.00015,3.57e-05,9e-05,0.000349,0.000955,0.003199,0.006945,0.008983,0.00834,0.006356,0.004784,0.003153,0.002829,0.002427,0.001814,0.001751,0.001487,0.000895,0.000769,0.000698,0.000201,3.7e-05,8.51e-05,3.69e-05,0.000622,0.001169,0.001698,0.001211,0.000869,0.000196,0.000199,0.000597,0.000259,0.000102,4.28e-05,9.26e-05,-4.46e-05,0.000426,0.001245,0.006283,0.019994,0.036751,0.052936,0.047178,0.037488,0.025114,0.016934,0.01438,0.014157,0.011688,0.010145,0.00899,0.006235,0.004207,0.002908,0.002258,1.23e-05,-0.00012,4.45e-05,0.000539,0.001711,0.002814,0.003434,0.002342,-1.84e-06,0.000102,0.001306,0.001206,0.000979,0.001021,0.000478,6.8e-05,0.001154,0.004298,0.017151,0.054823,0.120457,0.156477,0.147807,0.109712,0.068406,0.049364,0.040545,0.035922,0.0328,0.026316,0.021324,0.017002,0.011217,0.008502,0.005169,0.008795,0.019458,0.031261,0.028879,0.01985,0.00429,0.003285,0.009952,0.00791,0.005293,0.004091,0.001782,0.000315,0.004872,0.022026,0.096549,0.356074,0.79031,1,0.906058,0.683628,0.477819,0.348936,0.270239,0.236072,0.225563,0.184295,0.142965,0.106275,0.07739,0.059045,0.044559,-7.88e-05,-0.00015,0.000598,-3.7e-05,-8.7e-05,-8.11e-05,0.000107,9.2e-05,0.001094,0.004187,0.012385,0.024963,0.032158,0.030484,0.020673,0.014576,0.010359,0.009095,0.008426,0.006786,0.005387,0.004183,0.002818,0.002238,0.001284,0.001108,0.001928,0.004346,0.01816,0.05786,0.120134,0.160853,0.15619,0.109457,0.07545,0.05267,0.044733,0.038821,0.033845,0.029399,0.023134,0.017182,0.01202,0.008914,0.013356
"RB744",0.002148,0.000364,0.000222,0.000134,9.45e-05,0.000519,0.000314,0.000465,-0.00025,-7.79e-05,-0.00016,0.000159,-0.00012,-8.69e-05,-8.66e-05,-0.00025,-0.00029,-0.00025,-0.00046,-2.51e-05,-0.00025,0.000989,0.001868,0.005303,0.007957,0.009045,0.007813,0.006013,0.004288,0.003583,0.002022,0.00193,0.001412,0.001065,0.000675,0.000563,0.000452,0.000317,0.000599,0.002199,0.003875,0.003279,0.002023,0.000109,0.000316,0.001173,0.000874,0.000764,3.76e-05,0.000178,0.000209,0.000198,9.26e-05,0.000173,0.000679,0.001575,0.005472,0.014773,0.032006,0.049302,0.053358,0.046011,0.039042,0.026629,0.021958,0.018186,0.016205,0.01214,0.009571,0.007028,0.000256,0.000272,0.000738,0.004521,0.00663,0.008692,0.010293,0.007653,0.000813,0.001556,0.003029,0.003017,0.00165,0.002168,0.000381,0.000397,0.000133,0.000216,0.000521,0.000905,0.004727,0.015018,0.039491,0.083511,0.116817,0.135973,0.113102,0.085642,0.059752,0.048136,0.038007,0.034655,0.027785,0.024881,0.01395,0.017608,0.037148,0.057768,0.056098,0.04028,0.009188,0.006919,0.021107,0.017284,0.011355,0.008311,0.003492,0.000383,0.002357,0.002998,0.004656,0.01017,0.031355,0.090311,0.237164,0.517014,0.834306,1,0.890001,0.689105,0.53572,0.386312,0.303551,0.247292,0.20942,0.180773,0.151546,8.69e-05,0.000709,0.000716,0.000199,-0.00026,-0.00022,2.44e-05,0.000169,-0.00018,-0.00033,0.000557,-0.00011,0.002418,0.004991,0.009598,0.015332,0.016129,0.013822,0.011688,0.007483,0.00551,0.004591,0.003542,0.00295,0.00232,0.001788,5.6e-05,6.56e-05,0.000189,0.000367,0.001616,0.005905,0.016211,0.031468,0.04614,0.048993,0.04302,0.03168,0.02247,0.017363,0.014209,0.012303,0.01086,0.008209,0.006414
"RB780",-0.00161,-0.00067,-1.81e-05,0.001994,0.005755,0.008787,0.007204,0.005129,0.001008,0.00159,0.004219,0.002897,0.002184,0.001399,0.000657,4.58e-05,0.000971,0.000437,9e-04,0.000534,0.000135,0.000681,0.000888,0.002164,0.005109,0.012194,0.027712,0.04326,0.056592,0.046024,0.034689,0.024048,0.013948,0.003135,0.001203,-0.0014,-0.00028,-7.7e-05,0.001663,0.004689,0.007329,0.006901,0.005284,0.00105,0.001093,0.003324,0.002534,0.001772,0.001097,0.000467,9.43e-05,0.000478,0.000477,0.000424,0.000357,0.000283,0.000339,0.00064,0.00148,0.004397,0.010935,0.021437,0.037083,0.045524,0.049612,0.043327,0.035441,0.022595,0.016316,0.010407,-0.00118,-0.00132,-0.00078,0.006072,0.013342,0.022356,0.021377,0.015281,0.002603,0.0038,0.008456,0.006784,0.005054,0.004636,0.001629,0.000124,0.0014,0.001158,0.001184,0.001012,0.000876,0.001137,0.002192,0.005301,0.014463,0.035106,0.066354,0.104413,0.125551,0.125219,0.104815,0.083274,0.057805,0.037514,0.021624,0.03996,0.074897,0.123746,0.115322,0.08838,0.017524,0.019567,0.054282,0.042994,0.028735,0.022122,0.008268,0.000879,0.006675,0.006864,0.006204,0.005886,0.005907,0.007319,0.013419,0.036395,0.102449,0.252021,0.498108,0.784309,1,0.888337,0.803767,0.594016,0.461996,0.332749,0.237506,0.001448,0.001418,0.001023,0.00073,0.000881,0.000203,-3.29e-06,0.000256,4e-04,0.000587,4.73e-05,-0.00033,0.000388,0.000252,0.00094,0.00223,0.005956,0.012168,0.021189,0.027903,0.027751,0.024399,0.019462,0.014818,0.010074,0.007865,5.01e-05,5.4e-05,0.000118,0.00015,0.000228,0.00018,0.000593,0.001377,0.003637,0.008543,0.017402,0.025981,0.031336,0.030876,0.028101,0.022141,0.014883,0.010063,0.008123
"RY586",-4.36e-05,1.74e-05,2.63e-05,6.21e-05,4.22e-05,4.1e-05,1.59e-05,0.000277,0.000166,0.006181,0.022383,0.020842,0.013817,0.008316,0.002516,0.000511,0.003186,0.002997,0.001823,0.001467,0.001023,0.000736,0.000547,0.000324,0.000261,0.000157,0.000122,4.35e-05,2.55e-05,6.77e-06,2.67e-05,6.93e-05,7.12e-05,2.41e-05,2.16e-05,-1e-04,-2.99e-05,-9.99e-06,-1.01e-05,1.57e-05,1.73e-05,5.5e-05,0.000132,7.73e-05,0.002651,0.011106,0.011568,0.007779,0.004495,0.001796,0.000303,0.001854,0.001641,0.001223,0.000835,0.000539,0.000414,0.000318,0.000253,0.000192,0.000134,9.89e-05,8.23e-05,5.53e-05,4.95e-05,9.81e-05,0.000174,0.000205,0.000165,0.000105,-8.91e-05,-6.9e-05,-4.74e-05,-5.26e-05,2.65e-05,8.37e-05,0.000202,0.000521,0.000258,0.011675,0.035685,0.035163,0.024385,0.019557,0.006032,0.001261,0.006893,0.00584,0.003825,0.002571,0.001852,0.001375,0.001078,0.000783,0.000555,0.000405,0.00028,0.000214,0.000146,0.000152,0.000348,0.000799,0.000846,0.000637,0.000382,9.57e-05,5.54e-05,5.12e-05,0.000115,0.000501,0.000302,0.011127,0.044587,0.047046,0.030589,0.020379,0.007331,0.000941,0.006349,0.005866,0.004168,0.002945,0.002033,0.001451,0.001087,0.000838,0.000649,0.000468,0.000345,0.00026,0.000187,0.000142,0.000265,0.000495,0.000494,0.000421,0.000266,0.709014,1,0.943405,0.702451,0.486119,0.183199,0.02832,0.146199,0.157384,0.101891,0.070853,0.052588,0.037903,0.031129,0.022445,0.017909,0.013385,0.010394,0.007993,0.00627,0.004954,0.006171,0.008451,0.008922,0.006675,0.005068,2.99e-05,3.4e-05,2.42e-05,1.25e-05,1.19e-05,4.53e-06,-1.55e-06,3.98e-06,-4.5e-07,4.81e-06,-4.53e-07,-2.73e-06,1.66e-06,-4.7e-07,5.09e-07,-2.32e-07,-5.16e-06,9.1e-06,1.78e-06
"RY655",0.000564,8.99e-05,5.03e-05,0.000199,0.000225,0.000121,0.000105,0.000135,5.18e-05,0.000122,0.000125,0.000153,8.97e-05,0.000337,0.00023,0.000516,0.003263,0.004583,0.003227,0.002361,0.001723,0.001368,0.001397,0.001301,0.000907,0.000669,0.000524,0.000372,0.000216,0.000279,0.000152,0.000174,0.000116,0.000106,4.19e-05,0.000133,0.000135,8.55e-05,0.000296,0.000287,0.000299,0.000137,0.000151,8.9e-06,7.66e-05,0.000134,0.000154,7.3e-05,0.000107,4.39e-05,0.000301,0.002742,0.002922,0.002505,0.001631,0.000902,0.000897,0.000825,0.00086,0.000606,0.000464,0.000194,0.000278,0.000156,0.000134,6.71e-05,2.98e-05,-2.83e-05,4.14e-05,4.26e-05,5.04e-05,0.000135,0.000145,0.000401,0.001452,0.001116,0.001245,0.000558,6.43e-05,0.000159,0.000474,0.000437,0.000291,0.001099,0.001118,0.001992,0.020225,0.024316,0.017153,0.011148,0.008018,0.006328,0.006132,0.005443,0.004038,0.003151,0.001982,0.001465,0.001468,0.000874,0.000737,0.000384,0.000589,0.000104,0.000157,-0.00058,6.41e-05,0.000307,0.000366,0.000749,0.000215,0.00237,0.007487,0.005227,0.004203,0.007445,0.008806,0.006195,0.106914,0.164978,0.131581,0.094575,0.060612,0.043369,0.038518,0.03507,0.028663,0.021515,0.014911,0.010368,0.007945,0.006234,0.005201,0.004076,0.003321,0.002786,0.002008,0.082328,0.091998,0.05344,0.043808,0.0763,0.051384,0.113463,0.837877,1,0.669393,0.443141,0.316314,0.269148,0.261884,0.22816,0.194887,0.137373,0.094746,0.070453,0.050852,0.038384,0.031482,0.026521,0.019725,0.014443,0.011424,0.067943,0.082823,0.064439,0.042585,0.028259,0.02374,0.023943,0.02151,0.017877,0.012454,0.008829,0.006204,0.004289,0.003482,0.003028,0.002534,0.002326,0.001627,0.001195
"RY743",0.001789,0.000259,0.00016,5.32e-05,0.000363,3.28e-05,0.00022,0.000118,0.00012,9.43e-05,0.000334,-8.11e-05,0.000127,1.86e-05,-1.72e-05,0.000147,0.000398,0.000353,0.000198,0.000258,0.000475,0.000482,0.000965,0.001913,0.002433,0.002446,0.001825,0.001606,0.00127,0.000845,0.000954,0.000651,0.000642,0.000374,0.000362,0.000457,0.000451,0.000184,0.000806,0.000521,0.000647,0.000601,0.000187,0.000108,0.000162,0.000634,0.000346,0.000227,-1.91e-05,-2e-05,7.18e-05,1.3e-05,1.37e-05,-0.00018,-8.31e-06,0.000118,0.000461,0.001341,0.00274,0.003381,0.003421,0.003075,0.002057,0.001628,0.001204,0.001199,0.000794,0.00083,0.000747,0.000455,0.000423,0.000387,0.000556,0.002397,0.002775,0.002811,0.002457,0.001729,0.000471,0.000444,0.000587,0.000488,0.000762,0.000797,0.000606,6.73e-05,0.000517,0.000308,0.000194,0.000155,0.000347,0.001359,0.003107,0.005185,0.006521,0.00756,0.006043,0.005057,0.00427,0.002484,0.001733,0.001702,0.001975,0.001303,0.000746,-0.00034,0.000443,0.000556,0.000814,0.001537,0.000677,0.005011,0.015673,0.010842,0.007434,0.006192,0.003048,3e-04,0.001455,0.002013,0.002024,0.002691,0.004934,0.013609,0.03256,0.066066,0.098263,0.111457,0.095233,0.07248,0.055746,0.039749,0.03169,0.02681,0.022511,0.019871,0.015262,0.170019,0.187977,0.107137,0.073097,0.064722,0.021607,0.00288,0.01595,0.016939,0.014648,0.021261,0.053115,0.149902,0.374827,0.66679,0.978095,1,0.844881,0.666129,0.469853,0.344148,0.267361,0.219453,0.175527,0.135081,0.10124,0.00015,2.62e-05,-2.09e-05,0.000173,0.000557,0.002097,0.005055,0.009132,0.012736,0.012808,0.011055,0.007924,0.005525,0.004859,0.003776,0.003346,0.002596,0.002228,0.001544
"RR688",0.002735,0.000422,0.000277,-1e-04,0.00046,0.000701,-0.00021,0.000105,-6.64e-06,-0.00024,-5.01e-05,-2.33e-05,-0.00028,-0.00024,-7.68e-05,-5.72e-05,0.000448,0.002536,0.005879,0.010945,0.009575,0.007483,0.00478,0.003162,0.003059,0.002665,0.002536,0.001691,0.001174,0.000727,0.000594,0.000462,0.000474,0.00023,-5.11e-06,0.001434,0.000465,0.00036,0.000283,2.98e-05,0.000828,0.000627,0.000585,3.36e-05,0.00025,-6.23e-05,-9.57e-05,6.79e-06,0.000157,0.000142,0.000316,0.001297,0.005887,0.019387,0.029642,0.025436,0.019106,0.012466,0.009491,0.007909,0.007856,0.005876,0.004806,0.003817,0.002993,0.001833,0.001686,0.00114,0.000673,0.001155,0.00078,0.000239,0.000801,0.00621,0.002343,0.002211,0.003545,0.001329,0.000272,0.000741,0.001545,0.001597,-0.00017,-0.00037,0.001531,0.000562,0.005961,0.030641,0.083724,0.128672,0.12285,0.08539,0.05815,0.038729,0.028961,0.026057,0.022644,0.019433,0.014156,0.011184,0.00657,0.005908,0.004229,0.005135,0.001678,0.000728,0.000825,0.001166,0.002121,0.000715,0.000174,0.000207,0.000186,-0.00053,-2.61e-05,0.000514,4.87e-05,7.31e-05,0.000301,0.002043,0.005443,0.009525,0.010279,0.006676,0.003452,0.00273,0.001958,0.001817,0.001726,0.001244,0.000897,0.000864,0.000677,0.000448,0.000305,0.000198,-0.00013,0.001208,0.001364,0.001222,-0.00031,0.000291,0.000578,0.001846,0.020928,0.09654,0.231956,0.3557,0.328417,0.228102,0.154821,0.111193,0.097991,0.083725,0.072746,0.058884,0.041161,0.028824,0.020169,0.0124,0.012846,0.007604,0.006495,0.096198,0.234302,0.612712,1,0.945103,0.655006,0.445147,0.309812,0.264973,0.234819,0.208537,0.162563,0.116894,0.08381,0.061239,0.048303,0.037653,0.02765,0.040939
"Spark Blue 550",-0.00136,-0.00047,-0.00017,0.002799,0.015016,0.067864,0.133319,0.110547,0.014734,0.022449,0.059346,0.044217,0.030227,0.019608,0.005906,0.000998,0.00719,0.00744,0.005387,0.004467,0.003026,0.002602,0.001914,0.001193,0.001593,0.002264,0.003638,0.004058,0.00148,0.000166,5.33e-05,0.000139,9.12e-05,4.22e-05,-7.28e-06,-0.00158,-5e-04,-0.00014,0.000347,0.002371,0.01311,0.028993,0.026349,0.004962,0.00352,0.011371,0.009106,0.006179,0.003861,0.001626,0.000198,0.001537,0.001523,0.001261,0.000886,0.000635,0.000575,0.00035,0.000405,0.000267,0.000435,0.000616,0.000845,0.000498,0.000214,9.16e-05,0.000188,0.000156,7.2e-05,6.22e-05,-0.00151,-0.00165,-0.00075,0.010447,0.050757,0.258444,0.558298,0.465953,0.066154,0.083068,0.183841,0.147118,0.105814,0.094264,0.029751,0.005591,0.030865,0.02858,0.021605,0.01601,0.012809,0.010258,0.008023,0.006625,0.006201,0.008975,0.012814,0.0155,0.010452,0.004133,0.00254,0.004391,0.003554,0.002387,0.001143,0.017783,0.073015,0.433117,1,0.925718,0.17079,0.142119,0.414168,0.343472,0.225758,0.168833,0.063274,0.00764,0.04989,0.048887,0.03976,0.031871,0.024438,0.018095,0.013901,0.011731,0.010828,0.01326,0.018963,0.02288,0.016389,0.009758,0.004707,0.005838,0.005274,0.003857,0.003005,0.019201,0.026912,0.017887,0.012137,0.009179,0.00324,0.000244,0.002289,0.002663,0.002094,0.001614,0.001606,0.001242,0.000875,0.000482,0.000394,0.000319,9.08e-05,3.23e-05,2.63e-05,4.97e-05,1.67e-05,2.19e-05,6.63e-06,2.32e-05,1.06e-05,-7.23e-05,-8.34e-05,-6.86e-05,3.41e-05,-0.00017,-8.07e-05,-1.24e-05,1.14e-05,5.48e-05,-5.58e-06,-2.18e-05,1.27e-05,-6.52e-05,-1.31e-05,-1e-04,-9.85e-05,8.07e-05,-0.00024,1.55e-05
"Spark Blue 574",-0.00218,-0.00096,-0.00078,0.000361,0.003951,0.011988,0.033627,0.049664,0.009873,0.042596,0.125529,0.106355,0.081495,0.059049,0.018179,0.002791,0.018416,0.01785,0.0126,0.009267,0.006596,0.004293,0.003821,0.002189,0.00169,0.001597,0.001619,0.000965,0.000528,0.000174,0.000209,0.000167,0.000313,0.000154,0.000117,-0.00306,-0.00066,-2e-04,-0.00064,0.000529,0.003011,0.010679,0.018586,0.005179,0.012027,0.039106,0.035832,0.028302,0.019542,0.008142,0.00117,0.006623,0.006163,0.004625,0.003777,0.002385,0.001704,0.001265,0.001032,0.000774,0.000548,0.000681,0.000709,0.000469,0.000355,0.000339,0.000663,0.000532,0.000362,0.000288,-0.00185,-0.0027,-0.0016,0.0017,0.003004,0.012677,0.042936,0.064125,0.01232,0.046007,0.113884,0.101813,0.082556,0.078804,0.025341,0.003906,0.023073,0.020448,0.014425,0.009825,0.007546,0.004812,0.003935,0.00286,0.002298,0.00162,0.002235,0.002302,0.001622,0.001063,0.000831,0.001632,0.001056,0.000617,0.000315,0.006843,0.014212,0.074403,0.258438,0.463943,0.125048,0.313859,1,0.931542,0.691808,0.55899,0.21303,0.022866,0.147899,0.139271,0.10711,0.082424,0.058377,0.041177,0.029537,0.022916,0.017536,0.01458,0.013409,0.014371,0.011751,0.009026,0.0074,0.011903,0.0112,0.009078,0.006921,0.110707,0.162566,0.128067,0.099668,0.077587,0.029136,0.00297,0.019541,0.022167,0.014821,0.01148,0.007824,0.006573,0.004161,0.003401,0.002214,0.001488,0.000709,0.000473,0.000275,0.000124,0.000131,5.17e-05,9.1e-05,1.97e-05,4.57e-05,-0.00014,0.000146,-8.32e-05,-2.62e-05,-1.54e-05,-2.96e-05,0.000223,4.2e-05,0.00024,6.49e-05,4.9e-05,0.000102,4.03e-05,-0.00014,-0.00034,-1.49e-05,0.000156,0.000167,2.4e-05
